StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
9255,8.0,1,3,3,87,4.6,Yes,No,83,88,Placed
1562,7.6,1,2,1,87,3.8,Yes,Yes,61,85,NotPlaced
1671,8.2,1,3,2,86,4.4,Yes,Yes,76,65,Placed
6088,7.7,1,1,0,64,4.1,No,No,55,59,NotPlaced
6670,8.5,2,3,2,90,4.8,Yes,No,80,87,Placed
5934,7.5,1,2,2,86,4.8,Yes,Yes,77,81,Placed
8830,8.3,1,3,2,88,4.8,Yes,Yes,74,88,Placed
7946,8.0,1,3,2,90,4.8,Yes,Yes,70,84,Placed
3509,6.7,1,2,2,83,4.8,Yes,No,65,80,Placed
2003,8.2,1,2,2,74,4.4,Yes,Yes,72,81,Placed
5867,8.0,2,2,2,85,4.5,Yes,Yes,79,81,NotPlaced
169,7.5,1,1,1,74,3.9,No,No,63,65,NotPlaced
2589,7.3,2,2,1,85,4.8,No,No,56,69,NotPlaced
5906,7.0,0,3,2,90,4.1,Yes,Yes,73,68,NotPlaced
9530,7.6,0,1,1,69,3.9,No,No,55,69,NotPlaced
6385,8.4,2,3,2,90,4.7,Yes,Yes,77,84,Placed
7825,6.9,0,1,2,72,4.8,Yes,Yes,58,85,Placed
9780,7.2,0,1,1,65,3.8,No,Yes,55,59,NotPlaced
4630,8.1,2,3,0,88,4.6,Yes,Yes,78,67,Placed
8561,6.6,1,1,0,72,3.2,No,Yes,55,68,NotPlaced
9292,8.7,1,3,0,89,4.5,Yes,Yes,70,84,Placed
6875,7.4,1,2,0,88,4.6,No,Yes,73,66,NotPlaced
6522,7.5,0,3,0,89,3.9,No,Yes,77,76,Placed
8980,8.6,2,3,0,87,4.7,Yes,Yes,76,73,NotPlaced
6648,8.3,1,2,1,77,4.2,No,Yes,67,84,NotPlaced
9826,7.7,1,3,3,80,4.1,Yes,Yes,78,81,NotPlaced
211,8.3,1,2,1,82,4.7,Yes,Yes,77,84,NotPlaced
5279,6.5,1,2,0,86,4.4,Yes,Yes,66,69,Placed
1920,8.2,0,3,2,90,4.8,Yes,Yes,70,84,Placed
719,8.1,2,3,2,87,4.4,Yes,Yes,86,83,Placed
4869,8.5,2,3,1,85,4.1,Yes,Yes,89,79,Placed
7835,6.5,1,3,1,76,4.1,Yes,Yes,55,74,NotPlaced
1299,7.5,1,1,0,78,4.0,No,No,55,71,NotPlaced
9194,8.6,2,3,2,81,4.8,No,Yes,68,79,Placed
4618,8.8,2,2,2,77,3.9,Yes,No,87,81,NotPlaced
3129,6.9,0,2,0,63,4.3,No,No,69,68,NotPlaced
9796,8.1,2,3,2,90,4.8,Yes,Yes,75,82,Placed
3980,8.7,2,3,2,90,4.8,Yes,Yes,79,85,Placed
9925,8.3,0,1,1,80,4.3,Yes,No,63,69,NotPlaced
8318,6.7,0,1,0,74,4.0,No,No,60,63,NotPlaced
4394,7.7,1,1,0,80,4.2,Yes,Yes,79,84,Placed
1288,8.2,1,2,0,82,3.9,Yes,Yes,75,86,NotPlaced
4356,7.6,0,1,0,68,4.0,No,Yes,56,70,NotPlaced
7014,8.1,1,3,0,85,3.7,Yes,Yes,55,79,Placed
3886,8.4,2,3,1,87,4.8,Yes,No,84,81,Placed
5750,7.4,1,1,1,78,3.7,No,Yes,55,64,Placed
9170,7.6,2,2,0,77,4.5,No,Yes,69,65,NotPlaced
2408,7.4,1,3,2,83,4.5,Yes,No,84,79,Placed
2014,7.9,1,2,0,75,3.8,Yes,No,57,66,NotPlaced
5154,7.7,1,1,2,85,3.6,No,No,58,72,Placed
8552,6.9,1,2,0,69,4.0,No,Yes,55,58,NotPlaced
4377,6.5,1,2,0,74,4.0,No,Yes,80,64,Placed
8823,8.1,0,2,1,88,3.8,Yes,Yes,72,82,NotPlaced
4274,7.3,1,1,0,68,4.4,No,No,57,61,NotPlaced
5826,8.7,1,3,2,85,4.1,Yes,Yes,83,86,NotPlaced
6700,6.5,2,1,0,87,4.4,No,No,69,68,NotPlaced
7244,8.0,1,1,2,82,4.8,No,No,69,68,NotPlaced
450,8.3,2,3,2,87,4.8,Yes,Yes,74,80,NotPlaced
2228,7.8,1,3,0,81,4.5,Yes,Yes,79,72,Placed
5757,7.6,2,2,1,88,4.6,Yes,Yes,79,86,NotPlaced
811,7.7,1,2,0,78,4.4,Yes,Yes,80,83,NotPlaced
4181,8.4,1,1,2,79,4.6,No,Yes,76,85,NotPlaced
9001,7.8,1,3,2,90,4.8,Yes,Yes,83,88,Placed
5439,7.9,1,1,0,71,4.4,No,Yes,79,71,NotPlaced
7534,6.5,2,3,2,71,3.8,Yes,Yes,66,80,Placed
6370,7.3,0,2,0,83,4.2,No,Yes,71,66,NotPlaced
8417,7.4,2,1,0,80,4.0,Yes,Yes,69,67,NotPlaced
1478,7.4,1,2,0,76,4.2,Yes,Yes,75,65,NotPlaced
1791,8.2,1,2,0,74,4.8,Yes,No,78,66,Placed
2009,8.5,2,3,0,76,4.8,Yes,Yes,85,88,Placed
683,7.1,0,2,2,76,4.2,No,No,63,64,NotPlaced
2817,8.5,0,3,2,90,4.7,Yes,Yes,81,81,Placed
9432,7.7,1,1,1,66,4.1,No,Yes,59,61,NotPlaced
3775,7.7,1,2,1,83,4.5,No,No,65,70,Placed
