iter	Logloss
0	0.6538808594
1	0.6216768188
2	0.5962007446
3	0.5726664429
4	0.5529429932
5	0.5370495605
6	0.5221655884
7	0.5105474243
8	0.4992494202
9	0.4893969116
10	0.4812259216
11	0.4742403259
12	0.4674755859
13	0.4623092957
14	0.4572659912
15	0.4527197266
16	0.448912323
17	0.4451671448
18	0.4422715149
19	0.4398167725
20	0.4371701355
21	0.4346799011
22	0.432633667
23	0.4307141418
24	0.4291738586
25	0.4276815796
26	0.4261897888
27	0.4248635254
28	0.4238147583
29	0.4229658813
30	0.4219247131
31	0.4208925476
32	0.4200311279
33	0.4192511597
34	0.4186418457
35	0.4178900146
36	0.4172718506
37	0.4168034058
38	0.4163288574
39	0.415612915
40	0.4151865845
41	0.4145305176
42	0.4140340271
43	0.4136629639
44	0.4130887146
45	0.4127982788
46	0.4123878784
47	0.4118370667
48	0.4113746948
49	0.4109919434
50	0.4105784302
51	0.41028479
52	0.4098933105
53	0.4094411621
54	0.4090574951
55	0.4088338928
56	0.4085274048
57	0.4082904663
58	0.4078998413
59	0.4074884644
60	0.4072655029
61	0.4071262817
62	0.4067869873
63	0.4063711548
64	0.4061827087
65	0.4059028931
66	0.4056884155
67	0.4054110413
68	0.4049056702
69	0.4047648926
70	0.4046106567
71	0.4044120178
72	0.4039085083
73	0.4035439453
74	0.4035239258
75	0.4032611694
76	0.4029091492
77	0.4026937866
78	0.4024907837
79	0.402435791
80	0.402000824
81	0.4016473999
82	0.4011431885
83	0.400898468
84	0.4006419373
85	0.4005037231
86	0.4004194641
87	0.4001832886
88	0.3999233093
89	0.3998213501
90	0.3995334778
91	0.3992895508
92	0.3991054688
93	0.398877533
94	0.3987904053
95	0.3985244751
96	0.3982599487
97	0.3979239502
98	0.3978008423
99	0.3975582886
