iter	Passed	Remaining
0	9	969
1	18	913
2	25	810
3	30	721
4	35	676
5	40	637
6	45	609
7	50	581
8	54	553
9	58	527
10	62	507
11	66	488
12	71	475
13	75	465
14	80	453
15	83	440
16	88	433
17	92	420
18	95	406
19	98	395
20	102	385
21	105	375
22	108	362
23	110	350
24	112	338
25	115	328
26	117	318
27	120	309
28	122	299
29	124	290
30	126	282
31	129	274
32	131	267
33	134	261
34	137	254
35	139	248
36	142	242
37	146	239
38	149	234
39	153	230
40	155	224
41	158	218
42	161	214
43	165	210
44	168	205
45	171	200
46	173	195
47	177	192
48	182	189
49	184	184
50	188	181
51	190	176
52	194	172
53	198	168
54	200	164
55	203	159
56	205	155
57	207	150
58	210	146
59	213	142
60	215	137
61	218	133
62	220	129
63	223	125
64	227	122
65	230	118
66	234	115
67	236	111
68	238	107
69	240	103
70	243	99
71	246	95
72	248	91
73	250	88
74	252	84
75	255	80
76	258	77
77	260	73
78	263	69
79	265	66
80	267	62
81	269	59
82	271	55
83	274	52
84	278	49
85	281	45
86	283	42
87	285	38
88	288	35
89	291	32
90	293	29
91	295	25
92	297	22
93	299	19
94	301	15
95	303	12
96	305	9
97	307	6
98	309	3
99	311	0
