iter	Passed	Remaining
0	215	215769
1	222	111001
2	227	75656
3	233	58254
4	238	47545
5	243	40336
6	248	35306
7	253	31467
8	258	28466
9	263	26076
10	268	24106
11	272	22470
12	279	21190
13	284	20043
14	289	19001
15	294	18104
16	299	17318
17	304	16595
18	308	15949
19	313	15378
20	319	14917
21	325	14455
22	330	14046
23	337	13723
24	342	13356
25	348	13050
26	353	12737
27	358	12454
28	363	12173
29	368	11905
30	373	11663
31	378	11454
32	383	11244
33	388	11033
34	394	10865
35	398	10668
36	402	10482
37	407	10314
38	412	10162
39	417	10008
40	421	9866
41	426	9734
42	431	9609
43	436	9489
44	441	9377
45	446	9255
46	451	9149
47	455	9029
48	460	8938
49	466	8861
50	472	8785
51	476	8694
52	481	8612
53	486	8529
54	492	8459
55	497	8378
56	501	8298
57	506	8221
58	510	8147
59	515	8071
60	519	8001
61	524	7940
62	529	7874
63	533	7806
64	538	7750
65	543	7690
66	547	7630
67	552	7575
68	557	7520
69	561	7463
70	566	7409
71	570	7357
72	575	7310
73	580	7257
74	585	7222
75	590	7175
76	594	7128
77	599	7088
78	604	7046
79	608	7002
80	614	6972
81	619	6934
82	624	6896
83	628	6858
84	634	6830
85	639	6799
86	644	6766
87	649	6733
88	654	6699
89	659	6665
90	663	6630
91	668	6596
92	673	6567
93	713	6881
94	744	7089
95	750	7067
96	755	7035
97	761	7006
98	770	7012
99	776	6985
100	782	6966
101	787	6937
102	793	6909
103	798	6880
104	803	6849
105	808	6815
106	813	6790
107	818	6756
108	822	6725
109	828	6701
110	833	6672
111	837	6642
112	843	6618
113	848	6596
114	853	6570
115	859	6550
116	864	6526
117	869	6499
118	875	6477
119	880	6457
120	885	6431
121	890	6406
122	895	6386
123	900	6364
124	905	6340
125	911	6320
126	916	6299
127	921	6275
128	927	6259
129	933	6245
130	938	6224
131	944	6207
132	949	6189
133	954	6170
134	960	6157
135	967	6144
136	973	6131
137	978	6113
138	983	6093
139	989	6077
140	993	6054
141	998	6035
142	1004	6017
143	1009	6001
144	1014	5983
145	1020	5969
146	1026	5953
147	1031	5938
148	1037	5924
149	1042	5909
150	1047	5892
151	1053	5878
152	1058	5859
153	1063	5844
154	1069	5830
155	1074	5815
156	1080	5802
157	1087	5792
158	1092	5778
159	1097	5763
160	1103	5750
161	1109	5739
162	1115	5727
163	1121	5718
164	1127	5707
165	1133	5692
166	1139	5681
167	1144	5667
168	1150	5655
169	1155	5642
170	1161	5629
171	1167	5618
172	1174	5615
173	1183	5620
174	1191	5615
175	1200	5621
176	1217	5660
177	1223	5648
178	1236	5672
179	1242	5658
180	1248	5649
181	1253	5635
182	1259	5622
183	1265	5612
184	1271	5601
185	1277	5588
186	1283	5578
187	1287	5559
188	1292	5546
189	1298	5534
190	1304	5523
191	1309	5512
192	1315	5502
193	1321	5489
194	1327	5478
195	1333	5468
196	1338	5455
197	1344	5444
198	1349	5433
199	1355	5420
200	1361	5411
201	1366	5398
202	1371	5385
203	1378	5377
204	1383	5366
